#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,dosfstools,"allows your computer to access dos-like filesystems."
,exfat-utils,"allows management of FAT drives."
,ntfs-3g,"allows accessing NTFS partitions."
A,simple-mtpfs,"enables the mounting of cell phones."
,unzip,"unzips zips."
,unrar,"extracts rar's."
,atool,"manages and gives information about archives."
,xdg-utils,"are filetype utilities."
,fzf,"is a fuzzy finder tool."
,man-db,"lets you read man pages of programs."
,socat,"is a socket utility."
,dbus,"facilitates inter-process communication."
,gnome-keyring,"serves as the system keyring."
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-fonts,"is a font package."
,ttf-inconsolata,"provides the monospace font for MARS."
,ttf-linux-libertine,"provides the sans and serif fonts for MARS."
,ttf-font-awesome,"provides awesome icons used in statusbar"
,sxhkd,"simple X hotkey daemon."
,xorg-setxkbmap,"allows MARS's unique keyboard bindings."
,xorg-xmodmap,"allows MARS's unique keyboard bindings."
,xcape,"gives the special escape/super mappings of MARS."
,xclip,"allows for copying and pasting from the command line."
,unclutter,"hides an inactive mouse."
,xorg-xset,"allows speeding up the X rate."
,xcompmgr,"is for transparency and removing screen-tearing."
,xwallpaper,"sets the wallpaper."
,sxiv,"is a minimalist image viewer."
,maim,"can take quick screenshots at your request."
,ffmpeg,"can record and splice video and audio on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xev,"aids with resolution determination and screen recording."
,xdotool,"provides window action utilities on the command line."
,arandr,"is a UI for screen adjustment."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,pamixer,"is a command-line audio interface."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,mediainfo,"shows audio and video information."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,dunst,"is a suckless notification system."
,libnotify,"allows desktop notifications."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,abook,"is an offline addressbook usable by neomutt."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,neovim,"a tidier vim with some useful features"
,vifm,"is an vim based file manager that everyone likes."
P,ueberzug,"generates image previews in vifm and other terminal programs."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
,highlight,"can highlight code output."
,i3-gaps,"is the main graphical user interface and window manager."
,i3blocks,"is the status bar."
A,betterlockscreen,"A simple lock script for i3lock-color"
